Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem C-01,3,Correct,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,3,Correct,3
Basic Problem C-06,7,Correct,7
Basic Problem C-07,-1,Skipped,2
Basic Problem C-08,7,Incorrect,5
Basic Problem C-09,4,Incorrect,2
Basic Problem C-10,7,Correct,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,7,Incorrect,8
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,1,Correct,1
Basic Problem D-05,7,Correct,7
Basic Problem D-06,-1,Skipped,1
Basic Problem D-07,1,Correct,1
Basic Problem D-08,6,Incorrect,4
Basic Problem D-09,3,Correct,3
Basic Problem D-10,2,Incorrect,1
Basic Problem D-11,3,Correct,3
Basic Problem D-12,5,Incorrect,3
Basic Problem E-01,1,Correct,1
Basic Problem E-02,7,Correct,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,8,Correct,8
Basic Problem E-05,5,Correct,5
Basic Problem E-06,8,Correct,8
Basic Problem E-07,3,Correct,3
Basic Problem E-08,1,Correct,1
Basic Problem E-09,8,Incorrect,7
Basic Problem E-10,8,Correct,8
Basic Problem E-11,5,Correct,5
Basic Problem E-12,-1,Skipped,6
